currency,buying_rate,average_rate,selling_rate,date,mid_rate
USD,1013.97,1024.1,1034.24,2022-06-27,1024.1
USD,1013.77,1023.9,1034.04,2022-06-28,1023.9
USD,1014.06,1024.2,1034.34,2022-06-29,1024.2
USD,1014.34,1024.48,1034.62,2022-06-30,1024.48
USD,1014.48,1024.62,1034.77,2022-07-05,1024.62
USD,1014.69,1024.83,1034.98,2022-07-06,1024.83
USD,1014.95,1025.1,1035.25,2022-07-07,1025.1
USD,1015.07,1025.22,1035.37,2022-07-08,1025.22
USD,1015.15,1025.3,1035.45,2022-07-12,1025.3
USD,1015.32,1025.47,1035.63,2022-07-13,1025.47
USD,1015.57,1025.72,1035.88,2022-07-14,1025.72
USD,1015.8,1025.95,1036.11,2022-07-15,1025.95
USD,1016.13,1026.29,1036.45,2022-07-18,1026.29
USD,1016.32,1026.48,1036.65,2022-07-19,1026.48
USD,1016.6,1026.76,1036.93,2022-07-20,1026.76
USD,1016.9,1027.06,1037.23,2022-07-21,1027.06
USD,1017.18,1027.35,1037.53,2022-07-22,1027.35
USD,1017.51,1027.68,1037.85,2022-07-25,1027.68
USD,1017.79,1027.97,1038.15,2022-07-26,1027.97
USD,1018.1,1028.28,1038.46,2022-07-27,1028.28
USD,1018.4,1028.58,1038.76,2022-07-28,1028.58
USD,1018.64,1028.82,1039.01,2022-07-29,1028.82
USD,1018.88,1029.07,1039.26,2022-08-01,1029.07
USD,1019.09,1029.28,1039.47,2022-08-02,1029.28
USD,1019.38,1029.57,1039.76,2022-08-03,1029.57
USD,1019.7,1029.89,1040.09,2022-08-04,1029.89
USD,1019.99,1030.19,1040.39,2022-08-08,1030.19
USD,1020.22,1030.42,1040.62,2022-08-09,1030.42
USD,1020.54,1030.74,1040.95,2022-08-10,1030.74
USD,1020.83,1031.03,1041.24,2022-08-11,1031.03
USD,1021.12,1031.33,1041.54,2022-08-12,1031.33
USD,1021.4,1031.61,1041.83,2022-08-16,1031.61
USD,1021.71,1031.92,1042.14,2022-08-17,1031.92
USD,1021.92,1032.14,1042.36,2022-08-18,1032.14
USD,1022.18,1032.4,1042.62,2022-08-19,1032.4
USD,1022.46,1032.68,1042.91,2022-08-22,1032.68
USD,1022.76,1032.98,1043.21,2022-08-23,1032.98
USD,1023.04,1033.27,1043.5,2022-08-24,1033.27
USD,1023.22,1033.45,1043.69,2022-08-25,1033.45
USD,1023.56,1033.79,1044.03,2022-08-26,1033.79
USD,1023.81,1034.04,1044.28,2022-08-29,1034.04
USD,1024.19,1034.44,1044.68,2022-08-30,1034.44
USD,1024.48,1034.73,1044.97,2022-08-31,1034.73
USD,1024.81,1035.06,1045.3,2022-09-01,1035.06
USD,1025.19,1035.45,1045.7,2022-09-02,1035.45
USD,1025.52,1035.78,1046.03,2022-09-05,1035.78
USD,1025.87,1036.13,1046.38,2022-09-06,1036.13
USD,1026.21,1036.47,1046.73,2022-09-07,1036.47
USD,1026.54,1036.81,1047.07,2022-09-08,1036.81
USD,1026.83,1037.1,1047.36,2022-09-09,1037.1
USD,1027.07,1037.34,1047.61,2022-09-12,1037.34
USD,1027.39,1037.67,1047.94,2022-09-13,1037.67
USD,1027.7,1037.98,1048.25,2022-09-14,1037.98
USD,1028.0,1038.28,1048.56,2022-09-15,1038.28
USD,1028.29,1038.57,1048.85,2022-09-16,1038.57
USD,1028.64,1038.93,1049.21,2022-09-19,1038.93
USD,1028.98,1039.27,1049.56,2022-09-20,1039.27
USD,1029.33,1039.62,1049.91,2022-09-21,1039.62
USD,1029.65,1039.95,1050.24,2022-09-22,1039.95
USD,1029.93,1040.23,1050.53,2022-09-23,1040.23
USD,1030.28,1040.58,1050.88,2022-09-26,1040.58
USD,1030.65,1040.95,1051.26,2022-09-27,1040.95
USD,1031.04,1041.35,1051.66,2022-09-28,1041.35
USD,1031.34,1041.65,1051.96,2022-09-29,1041.65
USD,1031.61,1041.93,1052.24,2022-09-30,1041.93
USD,1031.86,1042.18,1052.5,2022-10-03,1042.18
USD,1032.19,1042.51,1052.83,2022-10-04,1042.51
USD,1032.46,1042.78,1053.1,2022-10-05,1042.78
USD,1032.72,1043.05,1053.38,2022-10-06,1043.05
USD,1033.22,1043.55,1053.88,2022-10-07,1043.55
USD,1033.8,1044.13,1054.47,2022-10-10,1044.13
USD,1034.29,1044.63,1054.97,2022-10-11,1044.63
USD,1034.67,1045.02,1055.36,2022-10-12,1045.02
USD,1035.16,1045.51,1055.86,2022-10-13,1045.51
USD,1035.7,1046.05,1056.41,2022-10-14,1046.05
USD,1036.04,1046.4,1056.76,2022-10-17,1046.4
USD,1036.09,1046.45,1056.81,2022-10-18,1046.45
USD,1036.37,1046.73,1057.09,2022-10-19,1046.73
USD,1036.45,1046.81,1057.18,2022-10-20,1046.81
USD,1036.68,1047.04,1057.41,2022-10-21,1047.04
USD,1036.75,1047.11,1057.48,2022-10-24,1047.11
USD,1037.24,1047.61,1057.98,2022-10-25,1047.61
USD,1037.36,1047.73,1058.1,2022-10-26,1047.73
USD,1037.71,1048.09,1058.46,2022-10-27,1048.09
USD,1037.93,1048.31,1058.68,2022-10-28,1048.31
USD,1038.45,1048.83,1059.22,2022-10-31,1048.83
USD,1038.96,1049.35,1059.74,2022-11-01,1049.35
USD,1039.51,1049.91,1060.3,2022-11-02,1049.91
USD,1040.07,1050.47,1060.87,2022-11-03,1050.47
USD,1040.19,1050.59,1060.99,2022-11-04,1050.59
USD,1040.55,1050.95,1061.36,2022-11-07,1050.95
USD,1040.77,1051.17,1061.58,2022-11-08,1051.17
USD,1041.36,1051.77,1062.18,2022-11-09,1051.77
USD,1041.99,1052.4,1062.82,2022-11-10,1052.4
USD,1042.43,1052.85,1063.27,2022-11-11,1052.85
USD,1042.74,1053.17,1063.6,2022-11-14,1053.17
USD,1043.08,1053.51,1063.94,2022-11-15,1053.51
USD,1043.76,1054.2,1064.64,2022-11-16,1054.2
USD,1044.31,1054.75,1065.19,2022-11-17,1054.75
USD,1044.49,1054.93,1065.37,2022-11-18,1054.93
USD,1044.48,1054.92,1065.36,2022-11-21,1054.92
USD,1045.07,1055.52,1065.97,2022-11-22,1055.52
USD,1045.56,1056.01,1066.47,2022-11-23,1056.01
USD,1045.85,1056.31,1066.77,2022-11-24,1056.31
USD,1046.33,1056.79,1067.25,2022-11-25,1056.79
USD,1046.37,1056.83,1067.29,2022-11-28,1056.83
USD,1047.06,1057.53,1068.0,2022-11-29,1057.53
USD,1047.16,1057.63,1068.1,2022-11-30,1057.63
USD,1047.81,1058.28,1068.76,2022-12-01,1058.28
USD,1048.47,1058.95,1069.44,2022-12-02,1058.95
USD,1049.02,1059.51,1070.0,2022-12-05,1059.51
USD,1049.72,1060.21,1070.71,2022-12-06,1060.21
USD,1050.51,1061.01,1071.52,2022-12-07,1061.01
USD,1051.07,1061.58,1072.09,2022-12-08,1061.58
USD,1051.22,1061.73,1072.24,2022-12-09,1061.73
USD,1052.2,1062.72,1073.25,2022-12-12,1062.72
USD,1052.96,1063.48,1074.01,2022-12-13,1063.48
USD,1053.65,1064.19,1074.72,2022-12-14,1064.19
USD,1054.44,1064.99,1075.53,2022-12-15,1064.99
USD,1054.69,1065.24,1075.78,2022-12-16,1065.24
USD,1055.6,1066.16,1076.71,2022-12-19,1066.16
USD,1056.41,1066.97,1077.53,2022-12-20,1066.97
USD,1056.71,1067.28,1077.85,2022-12-21,1067.28
USD,1057.83,1068.4,1078.98,2022-12-22,1068.4
USD,1058.36,1068.94,1079.52,2022-12-23,1068.94
USD,1058.96,1069.55,1080.14,2022-12-28,1069.55
USD,1059.49,1070.09,1080.68,2022-12-29,1070.09
USD,1060.11,1070.71,1081.31,2022-12-30,1070.71
USD,1061.09,1071.7,1082.31,2023-01-04,1071.7
USD,1061.56,1072.18,1082.79,2023-01-05,1072.18
USD,1062.04,1072.66,1083.28,2023-01-06,1072.66
USD,1062.48,1073.11,1083.73,2023-01-09,1073.11
USD,1062.59,1073.22,1083.84,2023-01-10,1073.22
USD,1063.78,1074.42,1085.05,2023-01-11,1074.42
USD,1064.63,1075.28,1085.92,2023-01-12,1075.28
USD,1065.01,1075.66,1086.31,2023-01-13,1075.66
USD,1065.67,1076.33,1086.98,2023-01-16,1076.33
USD,1066.35,1077.01,1087.67,2023-01-17,1077.01
USD,1066.6,1077.26,1087.93,2023-01-18,1077.26
USD,1066.72,1077.39,1088.05,2023-01-19,1077.39
USD,1068.27,1078.95,1089.63,2023-01-20,1078.95
USD,1069.04,1079.73,1090.41,2023-01-23,1079.73
USD,1070.44,1081.15,1091.85,2023-01-24,1081.15
