date,currency,buying_rate,average_rate,selling_rate,mid_rate,is_official_observation
2022-06-26,USD,1013.97,1024.1,1034.24,1024.1,0
2022-06-27,USD,1013.97,1024.1,1034.24,1024.1,1
2022-06-28,USD,1013.77,1023.9,1034.04,1023.9,1
2022-06-29,USD,1014.06,1024.2,1034.34,1024.2,1
2022-06-30,USD,1014.34,1024.48,1034.62,1024.48,1
2022-07-01,USD,1014.34,1024.48,1034.62,1024.48,0
2022-07-02,USD,1014.34,1024.48,1034.62,1024.48,0
2022-07-03,USD,1014.34,1024.48,1034.62,1024.48,0
2022-07-04,USD,1014.34,1024.48,1034.62,1024.48,0
2022-07-05,USD,1014.48,1024.62,1034.77,1024.62,1
2022-07-06,USD,1014.69,1024.83,1034.98,1024.83,1
2022-07-07,USD,1014.95,1025.1,1035.25,1025.1,1
2022-07-08,USD,1015.07,1025.22,1035.37,1025.22,1
2022-07-09,USD,1015.07,1025.22,1035.37,1025.22,0
2022-07-10,USD,1015.07,1025.22,1035.37,1025.22,0
2022-07-11,USD,1015.07,1025.22,1035.37,1025.22,0
2022-07-12,USD,1015.15,1025.3,1035.45,1025.3,1
2022-07-13,USD,1015.32,1025.47,1035.63,1025.47,1
2022-07-14,USD,1015.57,1025.72,1035.88,1025.72,1
2022-07-15,USD,1015.8,1025.95,1036.11,1025.95,1
2022-07-16,USD,1015.8,1025.95,1036.11,1025.95,0
2022-07-17,USD,1015.8,1025.95,1036.11,1025.95,0
2022-07-18,USD,1016.13,1026.29,1036.45,1026.29,1
2022-07-19,USD,1016.32,1026.48,1036.65,1026.48,1
2022-07-20,USD,1016.6,1026.76,1036.93,1026.76,1
2022-07-21,USD,1016.9,1027.06,1037.23,1027.06,1
2022-07-22,USD,1017.18,1027.35,1037.53,1027.35,1
2022-07-23,USD,1017.18,1027.35,1037.53,1027.35,0
2022-07-24,USD,1017.18,1027.35,1037.53,1027.35,0
2022-07-25,USD,1017.51,1027.68,1037.85,1027.68,1
2022-07-26,USD,1017.79,1027.97,1038.15,1027.97,1
2022-07-27,USD,1018.1,1028.28,1038.46,1028.28,1
2022-07-28,USD,1018.4,1028.58,1038.76,1028.58,1
2022-07-29,USD,1018.64,1028.82,1039.01,1028.82,1
2022-07-30,USD,1018.64,1028.82,1039.01,1028.82,0
2022-07-31,USD,1018.64,1028.82,1039.01,1028.82,0
2022-08-01,USD,1018.88,1029.07,1039.26,1029.07,1
2022-08-02,USD,1019.09,1029.28,1039.47,1029.28,1
2022-08-03,USD,1019.38,1029.57,1039.76,1029.57,1
2022-08-04,USD,1019.7,1029.89,1040.09,1029.89,1
2022-08-05,USD,1019.7,1029.89,1040.09,1029.89,0
2022-08-06,USD,1019.7,1029.89,1040.09,1029.89,0
2022-08-07,USD,1019.7,1029.89,1040.09,1029.89,0
2022-08-08,USD,1019.99,1030.19,1040.39,1030.19,1
2022-08-09,USD,1020.22,1030.42,1040.62,1030.42,1
2022-08-10,USD,1020.54,1030.74,1040.95,1030.74,1
2022-08-11,USD,1020.83,1031.03,1041.24,1031.03,1
2022-08-12,USD,1021.12,1031.33,1041.54,1031.33,1
2022-08-13,USD,1021.12,1031.33,1041.54,1031.33,0
2022-08-14,USD,1021.12,1031.33,1041.54,1031.33,0
2022-08-15,USD,1021.12,1031.33,1041.54,1031.33,0
2022-08-16,USD,1021.4,1031.61,1041.83,1031.61,1
2022-08-17,USD,1021.71,1031.92,1042.14,1031.92,1
2022-08-18,USD,1021.92,1032.14,1042.36,1032.14,1
2022-08-19,USD,1022.18,1032.4,1042.62,1032.4,1
2022-08-20,USD,1022.18,1032.4,1042.62,1032.4,0
2022-08-21,USD,1022.18,1032.4,1042.62,1032.4,0
2022-08-22,USD,1022.46,1032.68,1042.91,1032.68,1
2022-08-23,USD,1022.76,1032.98,1043.21,1032.98,1
2022-08-24,USD,1023.04,1033.27,1043.5,1033.27,1
2022-08-25,USD,1023.22,1033.45,1043.69,1033.45,1
