date,currency,buying_rate,average_rate,selling_rate,mid_rate,is_official_observation,source,rate_type
2022-01-04,EUR,1130.25,1141.55,1152.85,1141.55,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-05,EUR,1128.76,1140.05,1151.33,1140.05,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-06,EUR,1131.01,1142.32,1153.63,1142.32,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-07,EUR,1130.52,1141.83,1153.13,1141.83,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-08,EUR,1130.52,1141.83,1153.13,1141.83,0,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-09,EUR,1130.52,1141.83,1153.13,1141.83,0,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-10,EUR,1133.82,1145.16,1156.49,1145.16,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-11,EUR,1134.7,1146.04,1157.39,1146.04,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-12,EUR,1138.29,1149.67,1161.05,1149.67,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-13,EUR,1145.19,1156.64,1168.09,1156.64,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-14,EUR,1148.77,1160.26,1171.75,1160.26,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-15,EUR,1148.77,1160.26,1171.75,1160.26,0,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-16,EUR,1148.77,1160.26,1171.75,1160.26,0,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-17,EUR,1143.28,1154.71,1166.14,1154.71,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-18,EUR,1141.12,1152.53,1163.94,1152.53,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-19,EUR,1134.55,1145.89,1157.24,1145.89,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-20,EUR,1138.2,1149.58,1160.96,1149.58,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-21,EUR,1134.3,1145.64,1156.98,1145.64,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates
2022-01-22,EUR,1134.3,1145.64,1156.98,1145.64,0,National Bank of Rwanda Excel export,BNR buying/average/selling rates
