date,currency,buying_rate,average_rate,selling_rate,mid_rate,is_official_observation,source,rate_type,observation_gap_days,daily_return,return_7d,return_14d,ma_7,ma_14,ma_30,ma_gap,volatility_7d,volatility_14d,volatility_30d,momentum_7d,momentum_14d,spread,spread_pct,depreciation_days_7d,depreciation_days_14d,future_7d_date,future_7d_change,future_14d_date,future_14d_change,risk_label_7d,risk_label_14d
2022-01-04,USD,999.820796,1009.82,1019.82,1009.82,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,,,,,,,,,,,,,,19.999204000000077,0.019804721633558533,,,2022-01-11,0.0007030956011961909,2022-01-18,0.0014656077320709393,Low,Low
2022-01-05,USD,999.920017,1009.92,1019.92,1009.92,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,9.902754946411463e-05,,,,,,,,,,,,19.99998299999993,0.019803531962927688,,,2022-01-12,0.0007723384030418057,2022-01-19,0.0014456590621039211,Low,Low
2022-01-06,USD,1000.1,1010.1,1020.1,1010.1,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00017823193916366442,,,,,,,,,,,,20.0,0.0198000198000198,,,2022-01-13,0.0007623007623007716,2022-01-20,0.001395901395901289,Low,Low
2022-01-07,USD,1000.2,1010.2,1020.2,1010.2,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,9.900009900021267e-05,,,,,,,,,,,,20.0,0.019798059790140564,,,2022-01-14,0.0009107107503463219,2022-01-21,0.0014353593347851135,Low,Low
2022-01-10,USD,1000.33,1010.33,1020.33,1010.33,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,0.00012868738863591744,,,,,,,,,,,,20.0,0.01979551235734859,,,2022-01-17,0.0008809002999019544,2022-01-24,0.001395583621192964,Low,Low
2022-01-11,USD,1000.52,1010.53,1020.53,1010.53,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00019795512357334566,,,,,,,,,,,,20.00999999999999,0.019801490307066582,,,2022-01-18,0.0007619763886277386,2022-01-25,0.0012765578458828752,Low,Low
2022-01-12,USD,1000.69,1010.7,1020.7,1010.7,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00016822855333353814,,,1010.2285714285715,,,,,,,,,20.00999999999999,0.01979815969130305,6.0,,2022-01-19,0.0006728010289898112,2022-01-26,0.0012565548629661638,Low,Low
2022-01-13,USD,1000.86,1010.87,1020.88,1010.87,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.0001682002572473973,0.001039789269374758,,1010.3785714285715,,,,3.957569214375502e-05,,,0.001039789269374758,,20.019999999999982,0.019804722664635396,7.0,,2022-01-20,0.0006331180072609577,2022-01-27,0.0013552682342932165,Low,Low
2022-01-14,USD,1001.11,1011.12,1021.13,1011.12,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00024731172158642956,0.0011882129277567266,,1010.5500000000001,,,,4.75738695796564e-05,,,0.0011882129277567266,,20.019999999999982,0.019799825935596153,7.0,,2022-01-21,0.0005241712160772849,2022-01-28,0.0012164728222170407,Low,Low
2022-01-17,USD,1001.21,1011.22,1021.23,1011.22,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,9.89002294484731e-05,0.0011088011088011829,,1010.71,,,,5.4181669130438044e-05,,,0.0011088011088011829,,20.019999999999982,0.019797867921916082,7.0,,2022-01-24,0.000514230335634247,2022-01-31,0.0012460196594212825,Low,Low
2022-01-18,USD,1001.29,1011.3,1021.31,1011.3,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,7.911235932822613e-05,0.0010888932884576263,,1010.8671428571428,,,,5.8184566379168355e-05,,,0.0010888932884576263,,20.019999999999982,0.019796301789775518,7.0,,2022-01-25,0.0005141896568774396,2022-02-02,0.00145357460694151,Low,Low
2022-01-19,USD,1001.37,1011.38,1021.39,1011.38,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,7.910610105810179e-05,0.0010392643987606753,,1011.0171428571429,,,,6.46491937170788e-05,,,0.0010392643987606753,,20.019999999999982,0.019794735905396568,7.0,,2022-01-26,0.0005833613478614108,2022-02-02,0.0013743597856394896,Low,Low
2022-01-20,USD,1001.5,1011.51,1021.52,1011.51,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00012853724613903772,0.0009697881309806977,,1011.157142857143,,,,6.100246822262388e-05,,,0.0009697881309806977,,20.019999999999982,0.019792191871558347,7.0,,2022-01-27,0.0007216933100018252,2022-02-03,0.0014631590394558192,Low,Low
2022-01-21,USD,1001.63,1011.65,1021.67,1011.65,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00013840693616473665,0.0009399426140297429,,1011.2928571428571,1010.7607142857142,,,5.9604389428912e-05,,,0.0009399426140297429,,20.039999999999964,0.019809222557208486,7.0,13.0,2022-01-28,0.0006919389116790686,2022-02-04,0.0015618049720753646,Low,Low
2022-01-24,USD,1001.72,1011.74,1021.76,1011.74,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,8.896357435883573e-05,0.0008606447911205795,0.001901328949713843,1011.4171428571428,1010.8978571428571,,,5.96006891811268e-05,5.038263027088253e-05,,0.0008606447911205795,0.001901328949713843,20.039999999999964,0.019807460414731023,7.0,14.0,2022-01-31,0.0007314132089271119,2022-02-07,0.00161108585209635,Low,Low
2022-01-25,USD,1001.8,1011.82,1021.84,1011.82,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,7.907169826237848e-05,0.0006923016061397558,0.0018813371356147801,1011.5171428571429,1011.0335714285715,,,2.4881056402042973e-05,5.176306962012062e-05,,0.0006923016061397558,0.0018813371356147801,20.040000000000077,0.019805894329030932,7.0,14.0,2022-02-02,0.0009389021762762351,2022-02-08,0.0016702575556917232,Low,Low
2022-01-26,USD,1001.95,1011.97,1021.99,1011.97,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.000148247712043581,0.0007416783687030915,0.0018513018513017787,1011.6242857142857,1011.1671428571428,,,3.1103489885053926e-05,5.0406516734640765e-05,,0.0007416783687030915,0.0018513018513017787,20.039999999999964,0.01980295858572879,7.0,14.0,2022-02-02,0.0007905372688912227,2022-02-09,0.00168977341225518,Low,Low
2022-01-27,USD,1002.22,1012.24,1022.26,1012.24,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.0002668063282507127,0.0009294966874320298,0.002019402098594192,1011.7585714285714,1011.3128571428571,,,6.574864224806389e-05,6.0803322546302005e-05,,0.0009294966874320298,0.002019402098594192,20.039999999999964,0.019797676440369838,7.0,14.0,2022-02-03,0.0007409310045047857,2022-02-10,0.0015707737295502788,Low,Low
2022-01-28,USD,1002.33,1012.35,1022.37,1012.35,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.0001086698806607167,0.0009590856058059316,0.0019993467480921012,1011.897142857143,1011.4571428571428,,,6.260399478119352e-05,6.142605462406243e-05,,0.0009590856058059316,0.0019993467480921012,20.039999999999964,0.01979552526300189,7.0,14.0,2022-02-04,0.0008692645824073253,2022-02-11,0.0015113350125943725,Low,Low
2022-01-31,USD,1002.46,1012.48,1022.51,1012.48,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,0.00012841408603736504,0.0009589623434271832,0.0019296804647066512,1012.0357142857143,1011.5964285714286,,,6.260677291148474e-05,5.9390371781425604e-05,,0.0009589623434271832,0.0019296804647066512,20.049999999999955,0.019802860303413355,7.0,14.0,2022-02-07,0.0008790297092287069,2022-02-14,0.0016197850821744186,Low,Low
2022-02-02,USD,1002.74,1012.77,1022.8,1012.77,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,2.0,0.0002864254108723152,0.0011071022586863766,0.002048085485307105,1012.1957142857144,1011.7442857142858,,,8.439140062896108e-05,7.127422160366712e-05,,0.0011071022586863766,0.002048085485307105,20.059999999999945,0.019807063795333535,7.0,14.0,2022-02-09,0.0008985258252121042,2022-02-16,0.0015502038962449394,Low,Low
2022-02-03,USD,1002.96,1012.99,1023.02,1012.99,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00021722602367768573,0.0012354952853499412,0.002097203399052283,1012.3742857142857,1011.8957142857143,,,8.072693224854923e-05,7.360684670888279e-05,,0.0012354952853499412,0.002097203399052283,20.059999999999945,0.019802762120060362,7.0,14.0,2022-02-10,0.0008292283240702858,2022-02-17,0.0014708930986486735,Low,Low
2022-02-04,USD,1003.2,1013.23,1023.26,1013.23,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00023692237830585938,0.0013935284932102832,0.0020867948413640924,1012.5757142857144,1012.0464285714286,,,7.039043485107234e-05,7.259194494722204e-05,,0.0013935284932102832,0.0020867948413640924,20.059999999999945,0.019798071513871425,7.0,14.0,2022-02-11,0.0006415127858432346,2022-02-18,0.001292894999161076,Low,Low
2022-02-07,USD,1003.33,1013.37,1023.4,1013.37,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,0.00013817198464316505,0.0013834402205599172,0.002126144656948936,1012.7757142857143,1012.2,,,7.1691236244995e-05,7.125709100109458e-05,,0.0013834402205599172,0.002126144656948936,20.069999999999936,0.019805204416945377,7.0,14.0,2022-02-14,0.0007401047988395693,2022-02-21,0.0013420567018955776,Low,Low
2022-02-08,USD,1003.47,1013.51,1023.54,1013.51,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.0001381528957833389,0.0012546431676281333,0.0021853060417285075,1012.9571428571428,1012.3578571428571,,,6.732630106265083e-05,6.831580902844391e-05,,0.0012546431676281333,0.0021853060417285075,20.069999999999936,0.01980246864855792,7.0,14.0,2022-02-15,0.0007005357618572461,2022-02-22,0.0013024045150022978,Low,Low
2022-02-09,USD,1003.64,1013.68,1023.71,1013.68,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00016773391481095246,0.0013137748802289906,0.0022741205086118654,1013.1471428571429,1012.522142857143,,,6.036366916050269e-05,6.46569109121547e-05,,0.0013137748802289906,0.0022741205086118654,20.07000000000005,0.0197991476600111,7.0,14.0,2022-02-16,0.0006510930471155252,2022-02-23,0.0013021860942310504,Low,Low
2022-02-10,USD,1003.79,1013.83,1023.87,1013.83,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00014797569252622544,0.0013333596713021034,0.002293600656444461,1013.34,1012.6878571428572,,,5.755568359213202e-05,6.408301816052884e-05,,0.0013333596713021034,0.002293600656444461,20.08000000000004,0.019806081887495972,7.0,14.0,2022-02-17,0.0006411331288282973,2022-02-24,0.0013414477772408784,Low,Low
2022-02-11,USD,1003.84,1013.88,1023.92,1013.88,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,4.93179329867921e-05,0.001096004028555253,0.0022043196757772776,1013.4985714285714,1012.8471428571429,,,6.125738243012743e-05,7.084927107128763e-05,,0.001096004028555253,0.0022043196757772776,20.079999999999927,0.019805105140647736,7.0,14.0,2022-02-18,0.0006509646111965139,2022-02-25,0.0014498757249379324,Low,Low
2022-02-14,USD,1004.08,1014.12,1024.16,1014.12,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,0.00023671440407158073,0.0011155095311898844,0.0023523830233063148,1013.66,1013.017142857143,,,6.48167169677635e-05,7.089246654194338e-05,,0.0011155095311898844,0.0023523830233063148,20.08000000000004,0.019800418096477774,7.0,14.0,2022-02-21,0.0006015067250424444,2022-02-28,0.0013509249398493406,Low,Low
2022-02-15,USD,1004.18,1014.22,1024.26,1014.22,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,9.860765984304187e-05,0.0009770733199767623,0.0023719633926981842,1013.8014285714286,1013.1885714285714,1011.9616666666666,0.001818015410427698,5.791976393816746e-05,6.918227650554333e-05,,0.0009770733199767623,0.0023719633926981842,20.08000000000004,0.01979846581609517,7.0,14.0,2022-02-22,0.0006014474177200579,2022-03-01,0.001409950503835411,Low,Low
2022-02-16,USD,1004.3,1014.34,1024.38,1014.34,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00011831752479740665,0.000957202206499197,0.0023419666590906996,1013.9399999999999,1013.3578571428571,1012.1123333333333,0.0018057942843630048,5.848048610915687e-05,7.033381061648586e-05,6.138261404457462e-05,0.000957202206499197,0.0023419666590906996,20.080000000000155,0.019796123587751794,7.0,14.0,2022-02-23,0.0006506694007926139,2022-03-02,0.0012421870378769295,Low,Low
2022-02-17,USD,1004.44,1014.48,1024.52,1014.48,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.0001380207819863255,0.0009570699845093955,0.0022129139334545744,1014.0785714285714,1013.5178571428571,1012.2643333333333,0.001792257254845664,5.847995608188378e-05,6.446798329318134e-05,6.06995970364093e-05,0.0009570699845093955,0.0022129139334545744,20.079999999999927,0.01979339168835258,7.0,14.0,2022-02-24,0.0006998659411718844,2022-03-03,0.0012518728806876211,Low,Low
